src_sec_id,match_text,match_kind,span_start,span_end,norm_token
§37.3,§ 37.21,single,12192,12199,§37.21
§37.4,§ 37.17,single,1223,1230,§37.17
§37.4,§ 37.10(a),single,1335,1345,§37.10(a)
§37.4,§ 37.17,single,3367,3374,§37.17
§37.4,§ 37.17,single,3877,3884,§37.17
§37.4,§ 37.19,single,4054,4061,§37.19
§37.4,§§ 37.8(b),single,4244,4254,§37.8(b)
§37.4,§ 37.10(a),single,4828,4838,§37.10(a)
§37.4,§ 37.10(a),single,5058,5068,§37.10(a)
§37.4,§ 37.10(a),single,5288,5298,§37.10(a)
§37.4,§ 37.10(a),single,5526,5536,§37.10(a)
§37.4,§ 37.10(a),single,5787,5797,§37.10(a)
§37.4,1 CFR part 51,crossdoc,145,158,§1CFRpart51
§37.5,§ 37.71,single,776,783,§37.71
§37.5,§ 37.71,single,921,928,§37.71
§37.7,§§ 37.10(a),single,105,116,§37.10(a)
§37.7,§§ 37.10(a),single,255,266,§37.10(a)
§37.7,§§ 37.10(a),single,460,471,§37.10(a)
§37.8,§ 37.5(b),single,16,25,§37.5(b)
§37.8,§ 37.7(a),single,169,178,§37.7(a)
§37.8,§ 37.7(a),single,323,332,§37.7(a)
§37.8,§ 37.9(b)(1),single,438,450,§37.9(b)(1)
§37.8,§ 37.4,single,588,594,§37.4
§37.8,§ 37.5,single,647,653,§37.5
§37.8,§§ 37.10(a)(4)(ii),single,731,749,§37.10(a)(4)(ii)
§37.9,§§ 37.10(a),single,124,135,§37.10(a)
§37.9,§§ 37.10(a),single,1154,1165,§37.10(a)
§37.9,§§ 37.10(a),single,2854,2865,§37.10(a)
§37.9,§ 37.51(a),single,3358,3368,§37.51(a)
§37.9,§§ 37.10(a),single,3764,3775,§37.10(a)
§37.9,§ 37.51(a),single,5601,5611,§37.51(a)
§37.10,§ 37.4,single,2439,2445,§37.4
§37.10,§ 37.4,single,2912,2918,§37.4
§37.10,§ 37.4,single,3624,3630,§37.4
§37.10,§ 37.4,single,3770,3776,§37.4
§37.10,§ 37.4,single,4434,4440,§37.4
§37.10,§ 37.4,single,4848,4854,§37.4
§37.10,§ 37.4,single,5092,5098,§37.4
§37.10,Section 3.2,word,2395,2406,§3.2
§37.10,Section 3.2,word,4390,4401,§3.2
§37.11,§ 37.31,single,274,281,§37.31
§37.11,§ 37.31,single,2377,2384,§37.31
§37.11,§ 37.31,single,2536,2543,§37.31
§37.11,§ 37.11(c)(1),single,2834,2847,§37.11(c)(1)
§37.11,§ 37.13(b)(2),single,3261,3274,§37.13(b)(2)
§37.11,§ 37.11(c)(1)(vi),single,3351,3368,§37.11(c)(1)(vi)
§37.11,§ 37.17(f),single,3718,3728,§37.17(f)
§37.11,§ 37.13,single,4193,4200,§37.13
§37.11,§ 37.11(g)(1),single,4572,4585,§37.11(g)(1)
§37.11,§ 37.13,single,4755,4762,§37.13
§37.11,§ 37.31,single,5470,5477,§37.31
§37.11,§ 37.55,single,5728,5735,§37.55
§37.13,§ 37.29,single,463,470,§37.29
§37.13,§ 37.11,single,597,604,§37.11
§37.13,§ 37.11(c),single,838,848,§37.11(c)
§37.13,§ 37.11(c)(vi),single,933,947,§37.11(c)(vi)
§37.13,§ 37.71,single,2806,2813,§37.71
§37.15,§ 37.41,single,698,705,§37.41
§37.17,§ 37.11(c)(2),single,253,266,§37.11(c)(2)
§37.17,§ 37.4,single,1090,1096,§37.4
§37.17,§ 37.4,single,2443,2449,§37.4
§37.17,§ 37.15,single,2689,2696,§37.15
§37.17,§ 37.19,single,2783,2790,§37.19
§37.17,§ 37.4,single,3257,3263,§37.4
§37.17,§ 37.51,single,3443,3450,§37.51
§37.19,§ 37.4,single,159,165,§37.4
§37.19,§ 37.11(c)(2),single,419,432,§37.11(c)(2)
§37.19,§ 37.17(f),single,536,546,§37.17(f)
§37.21,§ 37.25(b)(2),single,935,948,§37.25(b)(2)
§37.23,§ 37.13,single,739,746,§37.13
§37.23,§ 37.13,single,1231,1238,§37.13
§37.25,§ 37.13,single,1236,1243,§37.13
§37.25,§ 37.13,single,1670,1677,§37.13
§37.27,§ 37.5,single,278,284,§37.5
§37.31,§ 37.11,single,99,106,§37.11
§37.31,§ 37.11(c)(2),single,195,208,§37.11(c)(2)
§37.31,§ 37.41(b)(2),single,368,381,§37.41(b)(2)
§37.33,§ 37.11(c)(2),single,300,313,§37.11(c)(2)
§37.33,§ 37.41(b)(2),single,723,736,§37.41(b)(2)
§37.41,§ 37.55,single,189,196,§37.55
§37.41,§ 37.15,single,1899,1906,§37.15
§37.41,§ 37.45,single,2180,2187,§37.45
§37.43,§ 37.41,single,363,370,§37.41
§37.45,§ 37.41(b)(4)(ii),single,743,760,§37.41(b)(4)(ii)
§37.51,§ 37.55,single,368,375,§37.55
§37.51,§ 37.55,single,515,522,§37.55
§37.51,§ 37.63,single,754,761,§37.63
§37.51,§ 37.51,single,928,935,§37.51
§37.55,§ 37.11(h),single,980,990,§37.11(h)
§37.55,§ 37.45(b)(1)(v),single,1031,1047,§37.45(b)(1)(v)
§37.55,§ 37.41,single,1085,1092,§37.41
§37.59,§ 37.55,single,1238,1245,§37.55
§37.61,§ 37.59,single,441,448,§37.59
§37.63,§ 37.51(b),single,596,606,§37.51(b)
§37.65,§ 37.51,single,333,340,§37.51
§37.65,§ 37.5,single,434,440,§37.5
§37.65,§ 37.5,single,840,846,§37.5
§37.71,§ 37.27,single,28,35,§37.27
